nome,endereco,latitude,longitude
ONG Zoé - Saúde para quem cuida da Floresta Amazônica,"Viaduto Nove de Julho, 160 - Apto.103 - Centro Histórico, São Paulo - SP,01308-000, Brasil",-23.54863407,-46.64213516
TETO Brasil,"Rua Gen. Jardim, 660 - Vila Buarque, São Paulo - SP, 01223-010, Brasil",-23.54426633,-46.65097381
ONG Bom Samaritano Tidarfit,"R. do Lavapés, 300 - Cambuci, São Paulo - SP, 01519-000, Brasil",-23.56077659,-46.62947661
Nós do Bem,"R. São Bento, 329 - 13° andar - Centro Histórico de São Paulo, São Paulo - SP, 01011-100, Brasil",-23.54595038,-46.63539645
Eu Resolvo-ONG,"Av. Paulista, 777 - Jardim Paulista, São Paulo - SP, 01311-100, Brasil",-23.5664877,-46.65065261
Associação Internacional de Ajuda Humanitária - Ong AIAH,"R. Br. de Itapetininga, 50 - Sala 422 - Centro Histórico de São Paulo, São Paulo - SP, 01042-000, Brasil",-23.54520195,-46.63955586
Movimento de Apoio à Integração Social (Sede),"R. Benjamin Constant, 378 - Vila Guilhermina, São Paulo - SP, 03545-070, Brasil",-23.54940245,-46.63613735
ONG Moradia e Cidadania,"R. Líbero Badaró, 471 - 19º andar - Centro Histórico de São Paulo, São Paulo - SP, 01009-903, Brasil",-23.54519218,-46.6359328
MAPAA Institute - Environment and Animal Protection,"SP - Business Center - Av. Nove de Julho, 3229 - 1004 - Jardim Paulista, São Paulo - SP, 01407-000, Brasil",-23.56804953,-46.65980009
Bem da Madrugada,"R. Sen. Feijó, 148 - Sé, São Paulo - SP, 01006-001, Brasil",-23.5502101,-46.63581658
Adus,"Condomínio Ed Seguradoras - Av. São João, 313 - Centro Histórico de São Paulo, São Paulo - SP, 01035-905, Brasil",-23.54384606,-46.63754479
NGO forum AIDS of the State of São Paulo,"Av. São João, 324 - 7º ANDAR - SALA 701 - Centro Histórico de São Paulo, São Paulo - SP, 01036-000, Brasil",-23.54347883,-46.63725156
Ong Social Care,"Rua Pedro de Toledo, 130 - Vila Clementino, São Paulo - SP, 04039-000, Brasil",-23.59806616,-46.63807871
Todos Pela Educação,"Av. Paulista, 1294 - Bela Vista, São Paulo - SP, 01310-100, Brasil",-23.56280078,-46.65419182
Pela Vidda SP,"Rua Gen. Jardim, 566 - Vila Buarque, São Paulo - SP, 01223-010, Brasil",-23.54436717,-46.65019185
Instituto Beaba,"R. Manuel da Nóbrega, 595 - conjunto 14 - Paraíso, São Paulo - SP, 04001-083, Brasil",-23.57223021,-46.65173769
Paz e Amor em Ação ONG,"Alameda Itu, 499 - Cerqueira César, São Paulo - SP, 01421-001, Brasil",-23.56458957,-46.65866043
Projeto Social Tabor,"R. Benjamin Constant, 61 - Conjunto 62 - Liberdade, São Paulo - SP, 01005-000, Brasil",-23.54976326,-46.63477461
Instituto Verter,"R. Abílio Soares, 218 - Paraíso, São Paulo - SP, 04005-000, Brasil",-23.57354474,-46.64402235
Semeando ONG,"Av. Duque de Caxias, 325 - Campos Elíseos, São Paulo - SP, 01214-100, Brasil",-23.538454464982813,-46.64594394733468
Abong Associação Brasileira Organizações Não Governamentais,"Rua Gen. Jardim, 660 - Vila Buarque, São Paulo - SP, 01223-011, Brasil",-23.544305672418304,-46.65097380500516
Centro de Convivência É de Lei,"Rua Lettiere, 65 - Bela Vista, São Paulo - SP, 01320-030, Brasil",-23.557109588695102,-46.639850164522734
ALDEIAS INFANTIS SOS BRASIL,"R. Maracaju, 26 - Vila Mariana, São Paulo - SP, 04011-061, Brasil",-23.580703723498114,-46.64206397432072
Instituto Base Gênesis de Desenvolvimento Humano,"Praça da Sé, 28 - 1° andar - Sé, São Paulo - SP, 01001-100, Brasil",-23.54911163160225,-46.63390883384032
União de Mulheres,"R. Coração da Europa, 1395 - Bela Vista, São Paulo - SP, 01314-020, Brasil",-23.556825018881373,-46.64788911849866
I Know My Rights - IKMR,"Av. Brigadeiro Luís Antônio, 826 - Bela Vista, São Paulo - SP, 01318-001, Brasil",-23.556975592674313,-46.64076528966322
Mamas do Amor,"Alameda Santos, 2359 - Jardins, São Paulo - SP, 01419-002, Brasil",-23.557744324160577,-46.662657960827914
Associação Viva e Deixe Viver,"R. Fortunato, 140 - Vila Buarque, São Paulo - SP, 01224-030, Brasil",-23.53978907070998,-46.6519529473347
Rede Cidadã São Paulo,"R. Basílio da Gama, 77 - República, São Paulo - SP, 01046-020, Brasil",-23.544920037582035,-46.64259331849912
Junior Achievement São Paulo,"Av. Brigadeiro Luís Antônio, 2050 - sala 93B - Bela Vista, São Paulo - SP, 01318-002, Brasil",-23.5656228654544,-46.64823566452234
ASCCI-Ação Solidária Contra o Câncer Infantil,"R. Oscar Freire, 1990 - Pinheiros, São Paulo - SP, 05409-011, Brasil",-23.55493624187341,-46.67565689335824
